date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2015-06-08,14445.11,14099.73,14445.11,13967.37,213782198.0,485710798848.0,3.3,-2.53,-366.02,2.15
2015-06-09,14018.54,14106.23,14217.85,13899.36,169875377.0,388477747200.0,2.26,0.05,6.5,1.71
2015-06-10,14047.11,14461.81,14596.06,13918.59,179123587.0,418037108736.0,4.8,2.52,355.58,1.8
2015-06-11,14486.94,14768.88,14769.59,14478.84,185505152.0,438786621440.0,2.01,2.12,307.07,1.86
2015-06-12,14844.62,15006.34,15086.44,14825.28,205350948.0,483953090560.0,1.77,1.61,237.46,2.06
2015-06-15,15050.58,14707.78,15076.49,14675.21,222763963.0,497774395392.0,2.67,-1.99,-298.56,2.24
2015-06-16,14514.85,14102.22,14514.85,13981.68,192589673.0,420246781952.0,3.63,-4.12,-605.56,1.94
2015-06-17,14061.98,14407.31,14446.51,13603.85,180359316.0,384451084288.0,5.98,2.16,305.09,1.81
2015-06-18,14392.32,13934.22,14499.87,13894.26,169696187.0,364849209344.0,4.2,-3.28,-473.09,1.71
2015-06-19,13564.22,13024.72,13688.94,12999.07,150201723.0,304890417152.0,4.95,-6.53,-909.5,1.51
2015-06-23,12955.75,13047.02,13131.65,12168.35,156528855.0,301230055424.0,7.4,0.17,22.3,1.57
2015-06-24,13176.06,13313.8,13382.76,12935.57,165156314.0,334728589312.0,3.43,2.04,266.78,1.66
2015-06-25,13357.22,12760.48,13361.77,12585.36,172863828.0,349316861952.0,5.83,-4.16,-553.32,1.74
2015-06-26,12309.8,11730.75,12311.04,11710.78,147403220.0,266579599360.0,4.7,-8.07,-1029.73,1.48
2015-06-29,11923.42,10906.04,11933.72,10787.16,182273836.0,301574713344.0,9.77,-7.03,-824.71,1.83
2015-06-30,10543.23,11381.47,11389.19,10110.66,216880947.0,358005800960.0,11.72,4.36,475.43,2.18
2015-07-01,11264.87,10734.01,11641.03,10685.37,190361495.0,341676646400.0,8.4,-5.69,-647.46,1.91
2015-07-02,10626.73,10002.36,10696.42,9959.56,169217316.0,262426001408.0,6.86,-6.82,-731.65,1.7
2015-07-03,9545.27,9358.73,10055.57,9282.59,164507668.0,230779719680.0,7.73,-6.43,-643.63,1.65
2015-07-06,9943.96,8858.91,9943.96,8755.04,202661176.0,264323432448.0,12.7,-5.34,-499.82,2.04
2015-07-07,8517.29,8356.13,8528.49,8352.94,78383268.0,78684954624.0,1.98,-5.68,-502.78,0.79
2015-07-08,8057.11,8114.6,8128.54,8056.46,78507679.0,93887152128.0,0.86,-2.89,-241.53,0.79
2015-07-09,7951.43,8348.88,8349.73,7951.43,134135908.0,129915949056.0,4.91,2.89,234.28,1.35
2015-07-10,8488.35,8620.27,8621.39,8478.26,82269988.0,92027744256.0,1.71,3.25,271.39,0.83
